From Date,To Date,PM2.5,PM10,NO2,NOx,SO2,CO,Ozone,NH3
22-03-2024 01:00,22-03-2024 02:00,114.0,171.0,46.93,34.48,7.4,0.92,5.0,17.57
26-08-2024 22:00,26-08-2024 23:00,,,44.33,52.38,12.25,1.16,12.3,39.15
15-04-2024 00:00,15-04-2024 01:00,134.75,234.25,93.7,66.75,7.63,2.11,,13.02
29-08-2024 07:00,29-08-2024 08:00,9.25,11.25,47.5,59.17,12.65,1.03,13.0,33.5
24-03-2024 10:00,24-03-2024 11:00,97.25,168.25,36.48,27.5,9.6,0.67,42.05,19.2
24-09-2024 05:00,24-09-2024 06:00,74.0,97.75,181.12,153.28,5.78,2.04,0.43,0.3
13-10-2024 18:00,13-10-2024 19:00,8.75,84.0,54.1,48.17,5.32,1.3,14.0,8.55
22-09-2024 04:00,22-09-2024 05:00,62.75,109.25,179.68,150.28,2.95,2.39,0.72,2.08
26-11-2024 22:00,26-11-2024 23:00,234.25,329.0,95.88,67.17,6.35,2.59,16.45,19.88
17-06-2024 10:00,17-06-2024 11:00,48.25,119.0,38.1,29.98,21.05,1.12,28.57,21.32
19-11-2024 05:00,19-11-2024 06:00,435.0,492.5,62.3,48.03,,1.42,15.53,16.12
03-03-2024 00:00,03-03-2024 01:00,64.75,82.5,33.4,27.05,12.1,0.77,16.82,13.52
01-12-2024 08:00,01-12-2024 09:00,180.25,258.25,355.82,222.5,11.07,2.74,6.88,40.55
20-09-2024 06:00,20-09-2024 07:00,27.75,48.75,155.45,131.3,10.1,1.74,14.18,4.97
01-03-2024 20:00,01-03-2024 21:00,80.0,168.5,80.7,55.17,14.1,1.7,14.18,23.15
28-05-2024 02:00,28-05-2024 03:00,131.5,160.5,33.05,28.6,8.95,1.34,,25.05
07-12-2024 18:00,07-12-2024 19:00,91.0,184.0,359.2,220.72,5.05,3.46,7.25,38.08
19-01-2024 02:00,19-01-2024 03:00,243.5,327.0,22.65,23.78,4.35,0.2,28.95,32.1
06-04-2024 18:00,06-04-2024 19:00,24.25,42.25,25.82,22.07,4.05,0.79,41.8,11.57
28-09-2024 01:00,28-09-2024 02:00,7.33,8.75,27.38,36.45,10.68,0.45,7.3,33.15
14-10-2024 22:00,14-10-2024 23:00,78.0,231.25,181.93,145.25,2.7,4.43,8.93,20.1
05-11-2024 21:00,05-11-2024 22:00,178.75,194.25,,453.08,13.42,7.3,9.68,22.05
13-01-2024 11:00,13-01-2024 12:00,364.5,471.5,41.27,36.0,12.65,3.08,19.6,47.15
08-06-2024 00:00,08-06-2024 01:00,125.25,258.75,48.73,32.25,4.17,0.59,11.03,27.8
26-12-2024 02:00,26-12-2024 03:00,194.75,248.5,91.05,69.73,22.2,1.56,14.65,19.45
25-02-2024 02:00,25-02-2024 03:00,100.25,166.5,85.52,56.48,8.97,1.11,11.85,25.05
23-01-2024 17:00,23-01-2024 18:00,230.0,336.25,55.07,45.42,17.78,2.33,35.35,32.02
16-10-2024 19:00,16-10-2024 20:00,72.0,246.0,173.48,134.82,8.43,4.7,9.28,6.95
20-04-2024 10:00,20-04-2024 11:00,50.0,119.75,27.2,26.15,16.3,1.17,37.6,12.68
06-09-2024 10:00,06-09-2024 11:00,24.5,39.0,77.75,81.2,12.95,0.99,14.0,22.48
01-02-2024 03:00,01-02-2024 04:00,115.0,151.25,18.57,27.67,16.12,0.32,23.6,12.12
16-11-2024 12:00,16-11-2024 13:00,183.5,276.75,3.9,24.65,17.52,1.64,110.47,15.67
04-06-2024 23:00,05-06-2024 00:00,80.33,116.33,44.7,30.1,6.47,1.58,2.03,28.13
08-03-2024 01:00,08-03-2024 02:00,74.25,142.0,64.1,44.55,9.32,1.28,13.65,21.4
30-07-2024 00:00,30-07-2024 01:00,78.75,105.0,112.32,68.05,16.95,1.01,26.82,100.9
30-08-2024 03:00,30-08-2024 04:00,47.75,63.5,133.62,126.38,16.28,2.21,11.68,8.38
18-09-2024 11:00,18-09-2024 12:00,22.0,29.75,70.6,68.38,19.33,1.22,10.85,37.7
17-07-2024 08:00,17-07-2024 09:00,30.5,37.75,24.12,22.23,1.87,0.5,29.1,25.68
17-05-2024 00:00,17-05-2024 01:00,115.5,153.5,62.85,44.65,11.75,1.45,,18.65
05-03-2024 10:00,05-03-2024 11:00,63.0,126.25,40.27,29.68,7.47,0.85,51.78,18.27
10-07-2024 17:00,10-07-2024 18:00,38.0,58.5,9.03,17.25,11.38,1.19,30.3,16.52
29-06-2024 18:00,29-06-2024 19:00,29.25,65.5,12.72,22.4,14.22,2.2,20.35,18.8
24-05-2024 04:00,24-05-2024 05:00,49.25,62.75,44.95,34.53,8.72,0.6,9.77,25.0
10-09-2024 18:00,10-09-2024 19:00,17.5,21.0,63.83,66.03,18.0,1.55,19.23,30.62
02-08-2024 11:00,02-08-2024 12:00,44.25,51.5,100.48,61.82,8.25,1.35,47.5,78.03
08-10-2024 23:00,09-10-2024 00:00,92.33,189.67,36.7,36.0,12.87,1.32,8.47,14.67
22-07-2024 01:00,22-07-2024 02:00,38.5,53.5,44.5,29.52,7.25,0.63,8.53,62.15
29-06-2024 00:00,29-06-2024 01:00,77.75,153.5,10.7,18.88,7.18,1.9,24.32,16.95
31-01-2024 00:00,31-01-2024 01:00,233.25,294.5,100.73,84.95,20.17,2.42,24.75,40.1
23-07-2024 15:00,23-07-2024 16:00,28.75,40.5,63.47,41.32,8.8,0.8,25.27,103.27
05-10-2024 01:00,05-10-2024 02:00,66.0,111.75,214.0,173.28,11.03,3.1,0.3,
17-09-2024 08:00,17-09-2024 09:00,44.75,85.25,48.58,50.15,12.6,1.08,10.28,18.05
22-07-2024 16:00,22-07-2024 17:00,23.25,37.75,106.38,65.95,9.8,1.23,49.38,36.88
22-04-2024 23:00,23-04-2024 00:00,77.33,182.33,171.77,108.5,4.1,3.99,7.9,33.83
11-03-2024 03:00,11-03-2024 04:00,127.75,190.25,53.77,39.5,11.38,0.82,13.68,15.82
02-03-2024 05:00,02-03-2024 06:00,56.5,82.75,46.72,35.75,8.38,0.91,15.98,15.88
07-10-2024 06:00,07-10-2024 07:00,,,213.82,169.25,21.3,2.05,0.75,0.9
01-06-2024 17:00,01-06-2024 18:00,149.5,240.75,47.85,32.0,,0.88,19.12,27.7
28-10-2024 16:00,28-10-2024 17:00,74.0,135.75,65.85,78.43,12.38,1.69,35.05,12.47
19-02-2024 15:00,19-02-2024 16:00,73.5,187.75,12.95,27.35,18.85,1.06,84.47,12.7
17-05-2024 11:00,17-05-2024 12:00,81.25,115.5,74.73,51.8,9.17,0.38,90.07,16.2
23-06-2024 01:00,23-06-2024 02:00,53.5,82.25,23.6,21.7,3.35,1.62,38.62,25.17
18-01-2024 21:00,18-01-2024 22:00,242.5,313.0,38.85,35.9,14.22,1.63,30.48,44.48
18-12-2024 22:00,18-12-2024 23:00,427.0,541.75,,358.9,31.88,5.77,5.7,64.97
